Regions	H3K4me3.bam	
scaffold_2:56525131-56535131	0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;2.0;5.0;6.0;8.0;11.0;9.0;11.0;4.0;7.0;4.0;2.0;1.0;1.0;0.0;0.0;1.0;2.0;2.0;3.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0	
scaffold_2:56930352-56940352	0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;4.0;2.0;1.0;0.0;0.0;2.0;2.0;0.0;5.0;5.0;7.0;6.0;9.0;8.0;5.0;4.0;6.0;10.0;6.0;5.0;4.0;4.0;2.0;2.0;0.0;1.0;0.0;3.0;2.0;0.0;0.0;2.0;1.0;4.0;3.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0	
scaffold_2:57104185-57114185	2.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;4.0;18.0;22.0;27.0;36.0;32.0;43.0;49.0;42.0;27.0;11.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;3.0;1.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0	
scaffold_2:57153828-57163828	2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;3.0;1.0;1.0;2.0;2.0;3.0;4.0;2.0;1.0;0.0;1.0;0.0;3.0;2.0;4.0;15.0;22.0;34.0;52.0;67.0;44.0;27.0;18.0;20.0;23.0;18.0;14.0;4.0;2.0;2.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;2.0;2.0;1.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;2.0;2.0	
scaffold_2:57218848-57228848	0.0;0.0;3.0;1.0;3.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;2.0;1.0;3.0;3.0;2.0;2.0;1.0;3.0;10.0;13.0;18.0;28.0;33.0;40.0;31.0;23.0;12.0;13.0;5.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_2:57270896-57280896	0.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3.0;2.0;1.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0;10.0;14.0;20.0;33.0;18.0;29.0;15.0;12.0;4.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;2.0;2.0;2.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0	
scaffold_2:57644078-57654078	0.0;4.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;3.0;2.0;0.0;2.0;1.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;1.0;5.0;11.0;8.0;8.0;16.0;8.0;14.0;13.0;11.0;13.0;15.0;14.0;7.0;6.0;4.0;6.0;7.0;4.0;3.0;2.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;3.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;1.0;2.0;7.0;3.0;3.0;0.0;2.0;0.0;1.0;2.0;3.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;2.0;2.0;1.0;0.0	
scaffold_2:57867414-57877414	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;9.0;14.0;17.0;18.0;24.0;27.0;30.0;32.0;28.0;32.0;26.0;16.0;19.0;15.0;5.0;4.0;2.0;2.0;2.0;0.0;2.0;5.0;1.0;1.0;1.0;3.0;0.0;1.0;3.0;0.0;2.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;2.0;3.0;1.0;1.0;0.0;2.0	
scaffold_2:57978371-57988371	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;1.0;2.0;0.0;2.0;2.0;1.0;2.0;2.0;5.0;3.0;6.0;14.0;11.0;9.0;17.0;21.0;14.0;25.0;42.0;53.0;38.0;39.0;19.0;19.0;24.0;20.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0	
scaffold_2:58069824-58079824	1.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;1.0;5.0;2.0;2.0;3.0;6.0;7.0;5.0;16.0;20.0;16.0;8.0;6.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_2:58108897-58118897	1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;3.0;1.0;1.0;2.0;1.0;2.0;3.0;10.0;14.0;13.0;9.0;9.0;9.0;16.0;19.0;8.0;3.0;4.0;4.0;3.0;2.0;1.0;2.0;4.0;2.0;0.0;4.0;5.0;4.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;2.0;0.0;1.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	
scaffold_2:58139683-58149683	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;6.0;6.0;4.0;12.0;13.0;8.0;4.0;4.0;7.0;6.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;2.0;1.0;1.0;3.0;1.0	
scaffold_2:58180459-58190459	0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;3.0;1.0;1.0;0.0;0.0;1.0;3.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;5.0;18.0;29.0;36.0;42.0;68.0;70.0;84.0;51.0;39.0;44.0;50.0;28.0;14.0;7.0;8.0;4.0;3.0;4.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;1.0;4.0;0.0;0.0;1.0;2.0;2.0;1.0;1.0;0.0;2.0;3.0;4.0;1.0;1.0;2.0;4.0;2.0;0.0;0.0	
scaffold_2:58243925-58253925	1.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;2.0;4.0;7.0;12.0;12.0;14.0;15.0;12.0;9.0;6.0;14.0;3.0;4.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;2.0;3.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0	
scaffold_2:58254626-58264626	0.0;0.0;1.0;4.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;5.0;8.0;20.0;33.0;50.0;43.0;47.0;53.0;44.0;35.0;23.0;19.0;15.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;0.0;1.0;2.0;2.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;3.0;2.0;1.0;2.0;2.0	
scaffold_2:58294564-58304564	1.0;1.0;0.0;0.0;1.0;0.0;1.0;4.0;3.0;2.0;3.0;1.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;3.0;0.0;1.0;5.0;0.0;0.0;0.0;4.0;2.0;2.0;3.0;6.0;3.0;0.0;3.0;4.0;4.0;2.0;2.0;0.0;0.0;5.0;10.0;11.0;19.0;36.0;30.0;30.0;24.0;32.0;40.0;34.0;56.0;53.0;30.0;14.0;6.0;3.0;5.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0	
scaffold_2:58375346-58385346	1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;2.0;4.0;4.0;3.0;10.0;16.0;20.0;21.0;27.0;32.0;33.0;26.0;42.0;30.0;20.0;17.0;12.0;11.0;9.0;4.0;6.0;4.0;3.0;2.0;4.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;2.0;4.0;3.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;4.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0	
scaffold_2:58510416-58520416	1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;6.0;3.0;4.0;1.0;1.0;3.0;0.0;3.0;5.0;6.0;3.0;3.0;2.0;2.0;4.0;6.0;5.0;6.0;10.0;8.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0	
scaffold_2:58718409-58728409	0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;9.0;1.0;1.0;2.0;3.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0	
scaffold_2:58730557-58740557	0.0;1.0;2.0;2.0;0.0;2.0;2.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3.0;3.0;6.0;2.0;2.0;2.0;3.0;4.0;1.0;2.0;3.0;1.0;0.0;2.0;6.0;10.0;14.0;27.0;51.0;66.0;45.0;24.0;15.0;7.0;7.0;1.0;6.0;5.0;2.0;2.0;5.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;3.0;4.0;3.0;2.0;0.0;3.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;1.0;3.0;0.0;0.0;1.0	
scaffold_2:59247516-59257516	0.0;0.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;2.0;1.0;0.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;7.0;6.0;5.0;8.0;3.0;3.0;5.0;6.0;6.0;1.0;1.0;0.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	
scaffold_2:59356409-59366409	0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;2.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;2.0;1.0;5.0;11.0;11.0;14.0;5.0;10.0;9.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;4.0;3.0;3.0;2.0;3.0;2.0;1.0;2.0;1.0;4.0;2.0;3.0;2.0;5.0;1.0;5.0;3.0;0.0;2.0;2.0;1.0;2.0;1.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;1.0;4.0;3.0;3.0;4.0;0.0	
scaffold_2:59366248-59376248	3.0;0.0;1.0;1.0;1.0;2.0;1.0;6.0;4.0;4.0;3.0;4.0;4.0;3.0;3.0;1.0;1.0;2.0;4.0;5.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;4.0;8.0;4.0;12.0;7.0;6.0;11.0;21.0;22.0;14.0;11.0;12.0;15.0;17.0;12.0;8.0;9.0;11.0;14.0;13.0;17.0;22.0;12.0;11.0;10.0;13.0;7.0;11.0;4.0;6.0;7.0;9.0;6.0;10.0;9.0;3.0;3.0;5.0;6.0;6.0;11.0;6.0;5.0;5.0;6.0;2.0;2.0;1.0;0.0;3.0;3.0;2.0;1.0;2.0;0.0;1.0;2.0;4.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;2.0;3.0;2.0;2.0;3.0;1.0	
scaffold_2:59488409-59498409	2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;3.0;3.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;3.0;4.0;18.0;39.0;47.0;31.0;41.0;41.0;50.0;32.0;9.0;7.0;4.0;1.0;2.0;2.0;1.0;2.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;2.0;1.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;0.0	
scaffold_2:59544792-59554792	2.0;2.0;2.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;4.0;6.0;15.0;11.0;10.0;12.0;7.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;2.0;1.0;2.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;1.0	
scaffold_2:59579084-59589084	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;3.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;2.0;5.0;5.0;6.0;2.0;5.0;9.0;15.0;13.0;12.0;15.0;13.0;17.0;12.0;6.0;6.0;3.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;2.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;3.0;2.0;3.0;0.0;0.0;2.0;1.0;0.0	
scaffold_2:59698651-59708651	0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;1.0;1.0;0.0;1.0;2.0;1.0;2.0;1.0;6.0;12.0;33.0;54.0;72.0;52.0;55.0;23.0;18.0;9.0;14.0;7.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;5.0;4.0;2.0;2.0;1.0;0.0;1.0;2.0;3.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0	
scaffold_2:59725757-59735757	0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;2.0;2.0;2.0;1.0;2.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0;5.0;14.0;14.0;23.0;37.0;26.0;26.0;20.0;7.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;5.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;2.0;1.0;0.0;1.0;1.0;3.0;2.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;2.0	
scaffold_2:59747848-59757848	2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;5.0;11.0;14.0;11.0;4.0;3.0;18.0;20.0;20.0;11.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;1.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;3.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;3.0;3.0;3.0;1.0;3.0	
scaffold_2:59793452-59803452	1.0;3.0;1.0;1.0;1.0;2.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;3.0;2.0;3.0;1.0;0.0;3.0;3.0;1.0;1.0;4.0;6.0;10.0;11.0;6.0;6.0;6.0;9.0;13.0;13.0;22.0;30.0;37.0;51.0;62.0;79.0;65.0;64.0;68.0;69.0;62.0;33.0;37.0;28.0;35.0;56.0;61.0;48.0;35.0;27.0;29.0;28.0;27.0;36.0;29.0;22.0;16.0;3.0;0.0;3.0;3.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0	
scaffold_2:59823965-59833965	0.0;0.0;1.0;2.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;6.0;4.0;4.0;12.0;25.0;45.0;44.0;31.0;20.0;18.0;22.0;9.0;3.0;3.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0	
scaffold_2:59853204-59863204	1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;5.0;5.0;8.0;21.0;26.0;27.0;31.0;13.0;11.0;3.0;4.0;1.0;1.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;1.0;1.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0	
scaffold_2:59909768-59919768	3.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;2.0;4.0;10.0;10.0;13.0;11.0;33.0;49.0;72.0;77.0;71.0;73.0;52.0;35.0;36.0;26.0;19.0;21.0;21.0;13.0;15.0;14.0;13.0;1.0;3.0;1.0;1.0;1.0;3.0;8.0;6.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0	
